Repository,Company Name,Company URL,Description,Job Page,Tags,Language
vitejs/vite,VoidZero,https://voidzero.dev,Next Generation Frontend Tooling,https://voidzero.dev/team,"frontend, javascript, typescript, vite",TypeScript
elastic/elasticsearch,Elastic,https://www.elastic.co,"Free and Open Source, Distributed, RESTful Search Engine",https://www.elastic.co/about/careers/,"elasticsearch, java, search-engine",Java
grafana/grafana,Grafana Labs,https://grafana.com,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. ",https://grafana.com/about/hiring,"alerting, analytics, business-intelligence, dashboard, data-visualization, elasticsearch, go, grafana, hacktoberfest, influxdb, metrics, monitoring, mysql, postgres, prometheus",TypeScript
pingcap/tidb,PingCAP,https://pingcap.com,"TiDB - the open-source, cloud-native, distributed SQL database designed for modern applications.",https://pingcap.com/recruit-cn/join/,"cloud-native, database, distributed-database, distributed-transactions, go, hacktoberfest, htap, mysql, mysql-compatibility, scale, serverless, sql, tidb",Go
mongodb/mongo,MongoDB,https://www.mongodb.com,The MongoDB Database,https://www.mongodb.com/careers,"c-plus-plus, database, mongodb, nosql",C++
cockroachdb/cockroach,Cockroach Labs,https://www.cockroachlabs.com,"CockroachDB — the cloud native, distributed SQL database designed for high availability, effortless scale, and control over data placement.",https://www.cockroachlabs.com/careers/,"cockroachdb, database, distributed-database, go, hacktoberfest, sql",Go
jenkinsci/jenkins,CloudBees,https://www.cloudbees.com,Jenkins automation server,https://www.cloudbees.com/careers/,"cicd, continuous-delivery, continuous-deployment, continuous-integration, devops, groovy, hacktoberfest, java, jenkins, pipelines-as-code",Java
odoo/odoo,Odoo,https://www.odoo.com,Odoo. Open Source Apps To Grow Your Business.,https://www.odoo.com/jobs,"apps, business, erp, management, odoo, odoo-apps, python",Python
commaai/openpilot,comma.ai,https://comma.ai,"openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 300+ supported cars.",https://comma.ai/jobs,"advanced-driver-assistance-systems, driver-assistance-systems, robotics",Python
gradle/gradle,Gradle Inc.,https://gradle.com,"Adaptable, fast automation for all",https://gradle.com/careers/,"build-tool, good-first-issue, gradle, gradle-bt, groovy, java, kotlin",Groovy
arangodb/arangodb,ArangoDB,https://arango.ai,"🥑 ArangoDB is a native multi-model database with flexible data models for documents, graphs, and key-values. Build high performance applications using a convenient SQL-like query language or JavaScript extensions.",https://arango.ai/careers/,"arangodb, database, distributed-database, document-database, graph-database, graphdb, key-value, multi-model, nosql",C++
hasura/graphql-engine,Hasura,https://hasura.io,"Blazing fast, instant realtime GraphQL APIs on all your data with fine grained access control, also trigger webhooks on database events.",https://hasura.io/careers,"access-control, api, automatic-api, bigquery, graphql, graphql-api, graphql-server, haskell, hasura, mongodb, postgres, rest-api, sql-server, subgraph, supergraph",TypeScript
draios/sysdig,Sysdig,https://www.sysdig.com,Linux system exploration and troubleshooting tool with first class support for containers,https://www.sysdig.com/careers,,C++
paritytech/parity-ethereum,Parity Technologies,https://www.parity.io,"The fast, light, and robust client for Ethereum-like networks.",https://www.parity.io/jobs,"blockchain, client, ethereum, node, rust",Rust
mapbox/mapbox-gl-js,Mapbox,https://www.mapbox.com,"Interactive, thoroughly customizable maps in the browser, powered by vector tiles and WebGL",https://www.mapbox.com/careers/,"3d, javascript, maps, priority, webgl",TypeScript
PrestaShop/PrestaShop,PrestaShop,https://prestashop.com,PrestaShop is the universal open-source software platform to build your e-commerce solution.,https://prestashop.com/careers/,"cms, ecommerce, ecommerce-framework, ecommerce-platform, hacktoberfest, php, php-framework, prestashop",PHP
SonarSource/SonarQube,SonarSource,http://sonarsource.com,Continuous Inspection,http://sonarsource.com/company/jobs/,"code-quality, sonarqube, static-analysis",Java
zeek/zeek,Corelight,https://corelight.com,Zeek is a powerful network analysis framework that is much different from the typical IDS you may know.,https://corelight.com/company/careers,"bro, dfir, ndr, network-monitoring, nsm, pcap, security, zeek",C++
hazelcast/hazelcast,Hazelcast,https://hazelcast.com,"Hazelcast is a unified real-time data platform combining stream processing with a fast data store, allowing customers to act instantly on data-in-motion for real-time insights.",https://hazelcast.com/company/careers/,"big-data, caching, data-in-motion, data-insights, distributed, distributed-computing, distributed-systems, hacktoberfest, hazelcast, in-memory, java, low-latency, real-time, scalability, stream-processing",Java
confluentinc/ksql,Confluent,https://www.confluent.io,The database purpose-built for stream processing applications.,https://www.confluent.io/careers/,"event-streaming-database, interactive, kafka, kafka-connect, ksqldb, ksqldb-documentation, ksqldb-tutorials, materialized-views, real-time, sql, stream-processing, streaming-queries",Java
CartoDB/cartodb,CARTO,https://carto.com,Location Intelligence & Data Visualization tool,https://carto.com/careers/,"carto, geolocation, geospatial, location-services, postgis",JavaScript
crate/crate,Crate.io,https://crate.io,"CrateDB is a distributed and scalable SQL database for storing and analyzing massive amounts of data in near real-time, even with complex queries. It is PostgreSQL-compatible, and based on Lucene.",https://crate.io/jobs/,"analytics, big-data, cratedb, database, dbms, distributed, distributed-database, distributed-sql-database, elasticsearch, industrial-iot, iot, iot-analytics, iot-database, lucene, olap, postgresql, sql, time-series, tsdb, vector-database",Java
npm/cli,npm,https://www.npmjs.com,the package manager for JavaScript,https://www.npmjs.com/jobs,"javascript, nodejs, npm, npm-cli, package-manager, tools",JavaScript
sylabs/singularity,Sylabs,https://sylabs.io,"SingularityCE is the Community Edition of Singularity, an open source container platform designed to be simple, fast, and secure.",https://sylabs.io/resources/jobs,"containers, hpc, linux",Go
pimcore/pimcore,Pimcore,https://pimcore.com,"Core Framework for the Open Core Data & Experience Management Platform (PIM, MDM, CDP, DAM, DXP/CMS & Digital Commerce)",https://pimcore.com/en/about/careers,"cdp, cms, cms-framework, customer-data-platform, dam, data-management, digital-platform, ecommerce, ecommerce-platform, experience-manager, hacktoberfest, master-data-management, mdm, online-shop, pim, pimcore, product-information-management, product-management, shop, wcms",PHP
YugaByte/yugabyte-db,Yugabyte,https://www.yugabyte.com,YugabyteDB - the cloud native distributed SQL database for mission-critical applications.,https://www.yugabyte.com/careers/,"cloud-native, cpp, database, distributed-database, distributed-sql, distributed-sql-database, high-performance, kubernetes, multi-cloud, multi-region, scale-out, sql",C
